epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2125.79,0.79375,0.59467,0.76579,0.92845,0.84026,0.90105,0.73067,0.79622,0.60364,0.77125,0.074136,0.00302463,0.00302463
2,4333.43,0.72553,0.51476,0.74952,0.95642,0.90733,0.94836,0.81653,0.62871,0.44523,0.70109,0.0482584,0.00604922,0.00604922
3,6489.18,0.67236,0.4687,0.73185,0.96971,0.93051,0.96571,0.86257,0.52074,0.34971,0.66379,0.0223749,0.00906788,0.00906788
4,8629.36,0.63558,0.43846,0.7215,0.98056,0.94302,0.97566,0.88925,0.45762,0.28156,0.64822,0.010447,0.010447,0.010447
